,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state
0,Aalst,Appartement,None,280400.0,notariale,4,None,0,0,0,None,None,0,None,None,110,None,0,None
1,None,Appartement,None,None,notariale,3,None,0,0,0,None,None,0,None,None,49,None,0,None
2,Aalst,Appartement,None,284000.0,notariale,4,None,0,0,0,None,None,0,None,None,120,None,0,None
3,Aalst,Appartement,None,242500.0,notariale,4,None,0,0,0,None,None,0,None,None,96,None,0,None
4,Maldegem,Maison,None,322600.0,notariale,6,None,0,0,0,None,None,0,None,None,492,3,0,None
5,Aalst,Appartement,None,152100.0,notariale,3,None,0,0,0,None,None,0,None,None,47,None,0,None
6,Aalst,Appartement,None,311500.0,notariale,4,None,0,0,0,None,None,0,None,None,110,None,0,None
7,Aalst,Appartement,None,227000.0,notariale,4,None,0,0,0,None,None,0,None,None,90,None,0,None
8,Olsene,Appartement,None,287500.0,notariale,4,None,0,0,0,None,None,0,None,None,94,None,0,None
9,Aalst,Maison,Maison de ville,319000.0,notariale,8,None,0,0,0,None,None,1,None,None,None,None,0,None
0,Wetteren,Appartement,Serviceflat,269000.0,notariale,4,75,0,0,0,None,None,1,None,None,None,None,0,old
1,Wetteren,Appartement,None,269000.0,notariale,4,75,0,0,0,None,None,1,None,None,None,None,0,old
2,Ledeberg,Maison,None,495000.0,notariale,13,None,0,0,0,None,None,1,None,None,212,None,0,new
3,Ledeberg,Maison,None,495000.0,notariale,13,None,0,0,0,None,None,1,None,None,212,None,0,new
4,Meerbeke,Maison,None,272000.0,notariale,6,None,0,0,0,None,None,1,None,None,334,3,0,new
5,Sint-Niklaas,Appartement,None,172000.0,notariale,5,97,0,0,0,None,None,0,None,None,None,None,0,None
6,Evergem,Appartement,None,269000.0,notariale,4,90,0,0,0,True,20,1,None,None,183,2,0,old
7,Nieuwerkerken,Maison,None,375000.0,notariale,11,271,0,0,0,True,6,1,None,None,399,None,0,old
8,Appelterre-Eichem,Maison,None,359000.0,notariale,8,223,0,0,0,None,None,0,None,None,206,3,0,new
9,Appelterre-Eichem,Maison,None,385000.0,notariale,8,308,0,0,0,True,30,0,None,None,307,3,0,new
0,Zottegem,Appartement,None,179000.0,notariale,4,01,0,0,0,None,None,0,None,None,01,2,0,old
1,Zottegem,Appartement,None,203000.0,notariale,4,05,0,0,0,None,None,0,None,None,05,2,0,old
2,Zottegem,Appartement,None,208000.0,notariale,4,62,0,0,0,None,None,0,None,None,62,2,0,old
3,Zottegem,Appartement,None,240000.0,notariale,4,01,0,0,0,None,None,0,None,None,01,2,0,old
4,Zottegem,Appartement,None,208000.0,notariale,4,62,0,0,0,None,None,0,None,None,62,2,0,old
5,Zottegem,Appartement,None,203000.0,notariale,4,65,0,0,0,None,None,0,None,None,65,3,0,old
6,Zottegem,Appartement,None,203000.0,notariale,4,65,0,0,0,None,None,0,None,None,65,3,0,old
7,Zottegem,Appartement,None,161000.0,notariale,3,35,0,0,0,None,None,0,None,None,35,2,0,old
8,Zottegem,Appartement,None,232500.0,notariale,4,84,0,0,0,None,None,0,None,None,84,2,0,old
9,Zottegem,Appartement,None,170000.0,notariale,4,29,0,0,0,None,None,0,None,None,29,2,0,old
0,Sint-Niklaas,Maison,Maison unifamiliale,299000.0,notariale,7,194,0,0,0,None,None,0,None,None,140,2,0,new
1,Geraardsbergen,Appartement,None,165000.0,notariale,5,114,0,0,0,True,3,1,114,0,114,2,0,old
2,Ninove,Maison,None,187000.0,notariale,5,110,0,0,0,None,None,0,None,None,230,2,0,None
3,None,Maison,None,None,notariale,4,None,0,0,0,None,None,1,None,None,456,3,0,None
4,None,Maison,None,None,notariale,4,None,0,0,0,None,None,1,None,None,382,3,0,None
5,None,Maison,None,None,notariale,4,None,0,0,0,None,None,0,None,None,229,2,0,None
6,None,Maison,None,None,notariale,4,None,0,0,0,None,None,0,None,None,229,2,0,None
7,None,Maison,None,None,notariale,4,None,0,0,0,None,None,0,None,None,290,2,0,None
8,None,Maison,None,None,notariale,4,None,0,0,0,None,None,0,None,None,290,2,0,None
9,Gent,Appartement,None,236000.0,notariale,3,61,0,0,0,None,None,0,None,None,61,2,0,None
0,Kalken,Appartement,None,311200.0,notariale,2,97,0,0,0,None,None,0,None,None,None,None,0,None
1,Maldegem,Appartement,None,218030.0,notariale,5,None,0,0,0,True,8,0,None,None,None,None,0,None
2,Lokeren,Appartement,Duplex,459667.0,notariale,7,204,0,0,0,True,27,0,None,None,None,2,0,old
3,Sint-Gillis-Waas,Maison,None,316445.0,notariale,6,None,0,0,0,None,None,1,None,None,341,3,0,None
4,Maldegem,Appartement,None,239000.0,notariale,6,100,0,0,0,None,None,0,None,None,None,None,0,old
5,Gent,Maison,Usage mixte,695000.0,notariale,12,180,0,0,0,None,None,0,71,0,71,2,0,None
6,None,Maison,None,None,notariale,4,None,0,0,0,None,None,0,None,None,375,3,0,None
7,Lede,Maison,None,289766.0,notariale,7,None,0,0,0,None,None,1,None,None,289,3,0,None
8,Adegem,Maison,None,292784.0,notariale,6,None,0,0,0,None,None,0,None,None,246,3,0,None
9,Oudenaarde,Maison,None,352400.0,notariale,5,None,0,0,0,None,None,1,None,None,384,4,0,None
0,Moerbeke-Waas,Appartement,None,580000.0,notariale,12,115,0,0,0,None,None,0,None,None,400,3,0,old
1,Oudenaarde,Maison,None,485000.0,notariale,6,236,0,0,0,None,None,1,130,110,240,3,0,new
2,Ninove,Appartement,App. rez-de-chaussée,269900.0,notariale,4,90,0,0,0,True,20,1,None,None,177,2,0,old
3,Ninove,Appartement,App. rez-de-chaussée,214500.0,notariale,4,75,0,0,0,True,13,0,None,None,88,2,0,old
4,Ninove,Appartement,None,265500.0,notariale,4,89,0,0,0,True,26,0,None,None,115,2,0,old
5,Eeklo,Appartement,None,185000.0,notariale,5,74,0,0,0,True,10,0,None,None,None,3,0,old
6,Gent,Maison,None,315000.0,notariale,5,1,0,0,0,True,15,0,None,None,79,2,0,None
7,Nederhasselt,Maison,None,265000.0,notariale,3,None,0,0,0,None,None,0,None,None,None,None,0,old
8,Bassevelde,Maison,None,179000.0,notariale,3,None,0,0,0,None,None,0,218,74,292,3,0,old
9,Gent,Appartement,None,410000.0,notariale,7,156,0,1,0,None,None,0,None,None,None,2,0,old
0,Ninove,Maison,Maison unifamiliale,180000.0,notariale,2,None,0,0,0,None,None,0,None,None,None,None,0,None
1,Outer,Maison,Maison unifamiliale,180000.0,notariale,2,None,0,0,0,None,None,0,None,None,None,None,0,None
2,Zulte,Maison,Villa,485000.0,notariale,7,235,0,0,0,None,None,0,None,None,833,4,0,old
3,Meilegem,Maison,Villa moderne,497400.0,notariale,6,180,0,0,0,None,None,0,None,None,610,4,0,old
4,Kruishoutem,Maison,None,389780.0,notariale,6,202,0,0,0,None,None,1,None,None,973,4,0,None
5,Eeklo,Maison,None,244900.0,notariale,7,None,0,0,0,None,None,0,None,None,122,None,0,None
6,Dendermonde,Appartement,Duplex,320000.0,notariale,7,172,0,0,0,None,None,0,None,None,210,2,0,None
7,Knesselare,Maison,Villa,925000.0,notariale,5,330,0,0,0,None,None,1,None,None,832,4,0,None
8,Wieze,Maison,None,279666.0,notariale,6,127,0,0,0,None,None,1,None,None,None,3,0,old
9,Deinze,Appartement,None,125000.0,notariale,4,45,0,0,0,None,None,0,None,None,45,2,0,old
0,Wortegem-Petegem,Maison,None,285000.0,notariale,6,144,0,0,0,None,None,0,None,None,179,2,0,old
1,Wortegem-Petegem,Appartement,None,237000.0,notariale,4,87,0,0,0,None,None,0,None,None,None,None,0,old
2,Wortegem-Petegem,Appartement,None,245000.0,notariale,4,86,0,0,0,None,None,0,None,None,None,None,0,old
3,Wortegem-Petegem,Appartement,None,285000.0,notariale,5,91,0,0,0,None,None,0,None,None,None,None,0,old
4,Wondelgem,Appartement,None,336000.0,notariale,4,98,0,0,0,None,None,0,None,None,None,None,0,old
5,Wondelgem,Appartement,None,395000.0,notariale,5,110,0,0,0,None,None,0,None,None,None,None,0,old
6,Wondelgem,Maison,None,372500.0,notariale,6,142,0,0,0,None,None,0,None,None,176,2,0,old
7,Wondelgem,Maison,None,466500.0,notariale,7,178,0,0,0,None,None,0,None,None,579,3,0,old
8,Gent,Maison,None,199500.0,notariale,4,60,0,0,0,None,None,0,30,0,30,2,0,None
9,Nieuwkerken-Waas,Maison,None,382000.0,notariale,5,142,0,0,0,None,None,0,None,None,380,3,0,old
0,Eke,Appartement,None,438000.0,notariale,6,90,0,0,0,True,40,1,None,None,None,None,0,None
1,Evergem,Appartement,None,239000.0,notariale,2,None,0,0,0,None,None,1,None,None,64,2,0,old
2,Evergem,Appartement,None,320000.0,notariale,3,None,0,0,0,None,None,1,None,None,112,2,0,old
3,Evergem,Appartement,None,239000.0,notariale,2,None,0,0,0,None,None,1,None,None,64,2,0,old
4,Waarschoot,Appartement,None,370000.0,notariale,4,121,0,0,0,True,50,1,None,None,None,2,0,old
5,Temse,Appartement,Loft,203500.0,notariale,2,None,0,0,0,None,None,0,None,None,None,None,0,old
6,Eeklo,Maison,None,291124.0,notariale,6,None,0,0,0,None,None,0,None,None,766,3,0,None
7,None,Appartement,None,None,notariale,0,None,0,0,0,None,None,0,None,None,None,None,0,None
8,None,Appartement,None,None,notariale,1,None,0,0,0,None,None,0,None,None,None,2,0,None
9,Haaltert,Appartement,None,280000.0,notariale,5,116,0,0,0,None,None,0,None,None,20,2,0,None
0,Moerbeke-Waas,Maison,None,275000.0,agence,6,None,0,0,0,None,None,1,None,None,484,4,0,old
1,None,Appartement,None,None,notariale,0,None,0,0,0,None,None,0,124,None,None,2,0,None
2,Gent,Appartement,None,313000.0,notariale,4,100,0,0,0,None,None,0,None,None,116,None,0,old
3,Nazareth,Appartement,None,349000.0,notariale,4,73,0,0,0,None,None,1,73,12,85,None,0,None
4,Nazareth,Appartement,None,338000.0,notariale,3,89,0,0,0,None,None,1,89,-2,87,None,0,None
5,Nazareth,Appartement,None,338000.0,notariale,3,89,0,0,0,None,None,1,89,0,89,None,0,None
6,Nazareth,Appartement,None,315000.0,notariale,3,53,0,0,0,None,None,1,53,43,96,None,0,None
7,Aalter,Maison,Villa,359000.0,notariale,7,235,0,0,0,None,None,0,None,None,216,4,0,old
8,Gent,Appartement,Serviceflat,390000.0,notariale,5,106,0,0,0,True,12,0,None,None,None,None,0,old
9,Gent,Appartement,Serviceflat,390000.0,notariale,5,106,0,0,0,True,12,0,None,None,None,None,0,old
0,Zelzate,Maison,Maison unifamiliale,195000.0,notariale,6,129,0,0,0,None,None,1,None,None,162,3,0,old
1,Onkerzele,Maison,None,200000.0,notariale,5,135,0,0,0,None,None,0,None,None,553,2,0,None
